category,grade,difficulty,question,image_url,option_a,option_b,option_c,option_d,correct_answer,explanation
Matematika SD,1,easy,"Hasil dari 5 + 3 adalah ...",,7,8,9,10,B,"5 + 3 = 8."
Matematika SD,1,easy,"Hasil dari 7 + 4 adalah ...",,10,11,12,13,B,"7 + 4 = 11."
Matematika SD,1,easy,"Hasil dari 9 + 6 adalah ...",,14,15,16,17,B,"9 + 6 = 15."
Matematika SD,2,easy,"Hasil dari 14 + 15 adalah ...",,27,28,29,30,C,"14 + 15 = 29."
Matematika SD,2,easy,"Hasil dari 25 + 13 adalah ...",,37,38,39,40,B,"25 + 13 = 38."
Matematika SD,2,medium,"Hasil dari 38 + 27 adalah ...",,55,63,65,75,C,"38 + 27 = 65."
Matematika SD,2,medium,"Hasil dari 46 + 39 adalah ...",,75,83,85,95,C,"46 + 39 = 85."
Matematika SD,3,medium,"Hasil dari 125 + 243 adalah ...",,358,368,378,468,B,"125 + 243 = 368."
Matematika SD,3,medium,"Hasil dari 278 + 154 adalah ...",,422,432,442,532,B,"278 + 154 = 432."
Matematika SD,3,medium,"Hasil dari 389 + 246 adalah ...",,625,635,645,735,B,"389 + 246 = 635."
Matematika SD,4,hard,"Hasil dari 1250 + 2375 adalah ...",,3525,3625,3725,3825,B,"1250 + 2375 = 3625."
Matematika SD,4,hard,"Hasil dari 3480 + 1870 adalah ...",,5250,5350,5450,5550,B,"3480 + 1870 = 5350."
Matematika SD,4,hard,"Hasil dari 4765 + 3589 adalah ...",,8254,8344,8354,8454,C,"4765 + 3589 = 8354."
Matematika SD,5,hard,"Hasil dari 12450 + 18780 adalah ...",,30230,31130,31230,32230,C,"12450 + 18780 = 31230."
Matematika SD,5,hard,"Hasil dari 25670 + 34890 adalah ...",,59560,60460,60560,61560,C,"25670 + 34890 = 60560."
